detail_id,property_id,property_type,property_image,floor_number,number_of_bedrooms,number_of_bathrooms,parking_spaces,year_built,heating_type,cooling_type,current_status,amenity_name,created_at
5536,1,Apartment,https://example.com/images/property_1.jpg,3,5,2,Yes,2022,Central,None,Rented,"Gym, Pool",2022-01-01 08:12:09
2372,2,Villa,https://example.com/images/property_2.jpg,,5,1,Yes,2020,Electric,Ceiling Fan,Sold,"Swimming Pool, Garden, Elevator",2022-01-21 06:35:16
7763,3,Townhouse,https://example.com/images/property_3.jpg,,2,1,Yes,2020,Gas,Central,Under Construction,"Swimming Pool, WiFi, Pool",2022-02-17 05:19:49
4403,4,Townhouse,https://example.com/images/property_4.jpg,,1,4,No,1995,Electric,Split AC,Available,"Parking, Security, Gym",2022-02-03 09:55:40
3838,5,Villa,https://example.com/images/property_5.jpg,,4,1,Yes,2011,Gas,Central,Sold,"Security, Security",2022-02-26 12:23:02
6990,6,Apartment,https://example.com/images/property_6.jpg,9,3,2,Yes,1997,Central,Split AC,Rented,"Security, Gym, WiFi, Play Area",2022-03-09 11:43:11
3851,7,Apartment,https://example.com/images/property_7.jpg,5,3,2,No,2015,Gas,Ceiling Fan,Rented,"Garden, Pool, Gym, Clubhouse",2022-02-19 05:21:20
4513,8,Condo,https://example.com/images/property_8.jpg,,4,1,No,2002,None,Ceiling Fan,Under Construction,"Swimming Pool, Clubhouse, Play Area",2022-03-05 09:04:23
8285,9,Condo,https://example.com/images/property_9.jpg,,5,1,No,2023,None,None,Rented,"Parking, Gym, Security",2022-03-01 11:39:11
2869,10,Apartment,https://example.com/images/property_10.jpg,2,3,1,Yes,2009,Central,None,Available,"Security, WiFi",2022-02-25 11:22:21
8590,11,Townhouse,https://example.com/images/property_11.jpg,,5,1,Yes,2017,Gas,Split AC,Under Construction,"Garden, Security",2022-03-03 04:40:42
4862,12,Townhouse,https://example.com/images/property_12.jpg,,1,3,No,2009,Central,Ceiling Fan,Available,"Parking, WiFi",2022-02-27 06:39:42
2113,13,Townhouse,https://example.com/images/property_13.jpg,,1,4,No,2007,Gas,Central,Rented,"Gym, Clubhouse, Garden",2022-02-21 11:01:30
4185,14,Condo,https://example.com/images/property_14.jpg,,3,2,Yes,1991,None,Split AC,Rented,"Security, Play Area, Garden",2022-02-08 02:47:24
3852,15,Condo,https://example.com/images/property_15.jpg,,4,3,Yes,2013,Central,Central,Rented,"Security, Elevator, Garden, Gym",2022-01-04 06:01:08
4539,16,Townhouse,https://example.com/images/property_16.jpg,,5,1,No,1994,None,Ceiling Fan,Under Construction,"Garden, Clubhouse",2022-03-04 12:22:25
9104,17,Villa,https://example.com/images/property_17.jpg,,1,4,Yes,2002,Central,Split AC,Available,"Garden, Garden, WiFi",2022-03-24 06:44:26
